Zones;Total
Outer;11
Outer;2
Outer;6
Outer;4
Outer;9
Outer;4
Outer;4
Outer;7
Outer;3
Outer;2
Outer;2
Outer;1
Outer;5
Outer;2
Outer;0
Outer;0
Outer;0
Outer;0
Intermediate;2
Intermediate;0
Intermediate;0
Intermediate;4
Intermediate;1
Intermediate;1
Intermediate;3
Intermediate;2
Inner;0
Inner;0
Inner;0
Inner;0
Inner;0
Inner;0
Inner;0
Inner;0
Inner;0
Inner;0
Inner;0
Inner;0
Inner;0
Inner;0
Inner;0
